
21870,439,18.69
22000,92,10.51
22140,224,1.63
22340,335,4.95
22500,565,23.83
22570,291,20.92
22590,138,2.62
22720,74,1.62
22880,684,66.7
22980,79,7.45
23190,363,4.34
23250,776,153.01
23270,119,3.08
23310,776,16.05
23370,80,1.21
23490,1001,43.14
23610,263,4.96
23620,99,3.13
23640,277,5.76
23770,261,16.01
23930,2876,132.85
23950,40,4.29
23970,120,14.61
24040,102,6.03
24130,542,8.01
24200,608,26.67
24270,2582,105.77
24310,161,15.39
24450,391,25.31
24470,68,111.36
24580,335,29.83
24610,91,7.14
24620,810,15.24
24680,296,13.98
24730,120,3.46
25200,105,3.54
25240,53,1.88
25450,789,23.25
25460,85,4.58
25530,150,14.72
25550,135,3.54
25730,188,29.72
25950,221,7.46
26020,127,34.52
26230,47,2.01
26260,181,11
26450,58,2.59
26570,159,12.59
26620,187,31.46
26670,137,1.67
26760,69,22.25
26800,89,9.07
26860,326,4.17
27020,247,17.99
27030,166,22.72
27220,50,62.32
27240,123,48.9
27570,148,18.71
27610,131,44.24
27640,250,7.49
27670,93,1.42
27700,244,3.75
27850,95,3.2
27910,394,28.38
28080,219,12
28110,237,5.85
28150,260,6.59
28160,540,39.58
28280,199,1.88
28380,354,36.86
28530,402,24.29
28560,23,1.33
28590,256,4.14
28820,170,5.33
28840,366,3.14
28950,219,5.9
29030,256,2.55
29040,79,3.26
29100,138,4.33
29370,377,4.34
29460,143,3.67
29580,178,10.73
29630,234,6.64
29680,237,4.12
29700,195,7.74
29760,190,3.59
29810,524,54.23
29820,68,4.12
29870,210,1.55
29890,254,5.61
29980,226,3.37
30080,104,20.77
30160,77,3.08
30170,318,8.04
30230,162,3.72
30310,291,80.37
30430,112,5.95
30540,115,6.04
30660,181,11.79
30710,655,64.79
30770,48,1.34
30790,196,12.98
30800,148,1.67
30940,71,5.43
31090,204,6.87
31140,85,1.42
31200,69,0.88
31250,192,6.91
31320,168,27.77
31340,277,43.55
31380,135,4.33
31410,148,3.58
31480,135,8.13
31500,210,10.6
31790,100,11.5
31800,134,3.79
31840,251,76.73
31870,166,68.1
31930,206,1.71
32000,51,9.84
32010,162,8.99
32020,137,8.44
32100,192,111.91
32260,305,559.94
32280,537,11.54
32360,207,7.83
32460,33,4.7
32540,516,9.51
32550,62,1.09
32570,78,2.09
32640,131,44.86
32750,229,2.87
32780,70,0.67
32790,164,16.62
32930,247,3.74
33080,161,20.04
33150,152,2.3
33250,142,3.54
33390,98,3.71
33510,469,2.38
33550,280,92.66
33590,125,1.67
33630,145,5.43
33720,220,70.49
33790,84,4.05
33860,170,5.42
33960,93,15.33
33990,102,2.66
34020,308,26.65
34120,127,23.92
34270,64,1
34300,115,6.97
34390,94,45.2
34490,28,195.35
34510,1450,423.2
34570,492,26.1
34600,531,18.65
34790,105,9.66
34920,486,21.82
35050,216,8.23
35070,128,6.59
35120,133,3.33
35170,147,12.16
35240,87,20.52
35320,96,1.88
35380,43,2.59
35420,193,1.67
35470,377,101.89
35480,130,3.8
35490,224,32.62
35530,283,19.23
35560,140,4.45
35670,338,14.12
35700,329,9.24
35720,58,0.21
35870,544,9.71
35940,267,23.15
35950,195,10.61
36030,99,0.21
36260,117,10.37
36350,148,58.55
36430,351,11.26
36600,75,3.53
36760,64,14.35
36820,124,17.59
36890,125,4.21
37030,255,15.21
37070,130,54.19
37310,265,10.12
37590,353,53.94
37640,183,3.09
37650,73,19.57
37830,67,19.73
37920,182,2.17
38010,68,3.58
38070,136,9.62
38090,119,6.5
38160,397,45.76
38190,109,6.9
38210,8193,398.7
38280,215,4.65
38370,259,5.59
38510,85,3.71
38670,352,24.94
38680,129,2.29
38820,331,29.81
38870,403,17.09
38890,88,4.18
38920,230,3.55
38940,19,6.47
38960,32,128.03
39070,224,3.55
39240,85,1.75
39770,75,4.51
39780,95,3.25
39910,192,1.88
39960,107,12.85
40090,252,13.85
40230,508,8.48
40480,3814,2604.26
40590,78,3.59
40680,53,123.72
40730,330,749.93
40840,76,1.3
41010,305,8.91
41050,155,5.08
41220,373,15.32
41290,207,5.33
41300,612,58.59
41320,188,6.05
41330,69,1.75
41400,128,40.36
41460,262,77.98
41580,293,5.75
41590,542,126.23
41630,30,3.72
41640,40,2.13
41970,249,7.89
42070,85,5.58
42150,219,53.46
42200,139,4.28
42460,208,10.62
42490,271,2.51
42550,194,2.29
42610,85,1.75
42620,579,24.31
42690,165,5.21
42710,187,4.34
42740,233,18.43
42770,45,11.08
42830,234,4.08
42950,187,358.89
42980,148,30.75
42990,77,9.93
43180,1218,204.52
43290,49,22.61
43320,285,154.26
43400,206,5.78
43490,44,2.46
43500,195,108.43
43580,281,86.7
43870,222,186.95
43890,196,48.95
43920,165,2.22
43940,92,4.63
43960,54,1.26
43970,263,7.67
44080,202,2.21
44100,169,4.3
44190,68,4.67
44220,194,8.78
44260,71,3.13
44270,115,4.89
44350,104,2.84
44470,252,23.88
44630,403,6.46
44660,111,4.99
44760,107,8.13
44780,94,2.63
44940,148,11.88
44980,140,71.02
45030,306,168.26
45180,74,2.32
45230,415,7.51
45340,339,21.4
45400,1138,49.9
45470,404,16.88
45500,144,4.53
45510,194,6.87
45540,18,2.32
45600,260,4.2
45650,81,13.51
45950,147,5.54
46030,313,15.64
46080,202,169.67
46130,28,3.58
46160,497,10.11
46220,264,17.74
46280,138,1.42
46350,126,7.38
46380,406,23.17
46860,138,7.83
46930,497,6.25
47210,227,8.97
47340,176,3.75
47400,1127,20.9
47420,66,2.29
47780,83,1.09
47960,151,5.96
47980,115,14.75
48070,421,8.75
48110,106,0.67
48240,80,1.75
48250,69,4.78
48320,315,26.77
48340,117,2.3
48390,162,4.71
48470,88,7.46
48550,52,16.35
48570,110,11.36
48680,72,26.06
49080,90,5.75
49110,139,45.67
49220,97,3.17
49260,171,1.63
49330,136,6.8
49350,102,4.21
49430,172,1.21
49450,423,52.09
49500,62,20.51
